Student_ID,Attendance,Assignment,Quiz,Midterm,Final,Previous_GPA,Average_Score,Risk_Level
117,99,42,23,94,77,3.57,75.4,Low
118,84,32,99,70,67,2.38,69.3,Medium
119,80,35,99,20,21,3.3,35.8,High
120,68,37,45,46,99,2.4,68.4,Medium
121,54,73,38,86,48,3.17,61.5,High
122,84,62,64,31,35,3.35,44.3,High
123,40,79,45,49,54,3.99,52.7,High
124,64,40,41,28,81,2.06,55.3,Medium
125,46,57,77,72,23,2.18,48.8,High
126,48,99,82,80,87,2.15,81.7,High
127,63,70,47,73,70,2.8,67.9,Low
128,40,45,84,56,52,3.64,54.5,High
129,83,97,63,84,97,3.69,88.3,Low
130,47,77,62,61,43,3.47,54.1,High
131,63,85,56,68,94,3.79,78.4,Low
132,50,93,85,23,44,2.65,47.3,High
133,90,88,36,83,47,2.18,65.1,Medium
134,56,91,59,98,26,2.12,60.4,High
135,47,40,57,70,55,3.7,57.4,High
136,74,47,80,91,29,3.46,59.0,Medium
137,74,48,28,79,55,3.4,60.7,Medium
138,72,84,96,98,37,2.68,69.4,Low
139,98,55,94,50,25,2.76,49.7,High
140,44,35,80,91,26,3.92,53.6,High
141,81,33,99,77,31,2.13,56.8,Medium
142,78,58,35,23,60,3.55,48.0,High
143,97,88,21,41,82,2.62,65.7,Low
144,80,46,91,22,44,2.08,45.9,High
145,67,72,62,98,72,3.49,78.3,Low
146,46,95,61,66,52,2.66,60.8,High
147,48,63,96,57,92,3.44,74.6,High
148,47,37,76,52,25,3.42,41.6,High
149,51,42,86,97,81,3.07,79.4,High
150,73,37,49,67,85,3.55,70.0,Low
151,72,94,32,84,28,3.16,56.2,Medium
152,87,72,38,45,86,2.57,67.6,Low
153,94,68,26,27,35,3.47,40.9,High
154,62,88,28,69,74,3.18,68.1,Low
155,63,73,73,99,59,2.03,74.2,Medium
156,76,38,80,57,45,3.8,54.5,Medium
157,74,66,21,29,57,3.09,47.6,High
158,83,65,69,61,54,3.74,61.6,Medium
159,79,57,94,56,87,3.77,74.6,Low
160,61,71,50,45,78,2.89,62.9,Medium
161,66,72,52,31,33,3.02,41.5,High
162,74,71,97,68,66,2.83,71.0,Low
163,40,95,99,33,90,2.9,69.3,High
164,74,84,30,65,91,3.79,74.7,Low
165,76,77,52,54,61,3.58,61.1,Medium
166,86,51,26,48,70,2.25,58.7,Medium
167,53,56,50,31,38,3.22,40.4,High
168,42,96,67,63,85,3.99,73.4,High
169,40,42,66,85,66,3.19,66.7,High
170,44,74,97,21,84,3.57,61.4,High
171,65,39,72,78,61,3.54,65.4,Low
172,94,38,99,36,57,2.7,56.7,Medium
173,53,83,38,29,32,2.74,38.9,High
174,78,56,25,37,63,3.45,52.2,Medium
175,66,63,68,41,43,3.0,49.2,High
176,48,30,92,77,49,3.14,59.7,High
177,54,61,69,72,89,3.43,75.6,High
178,54,96,31,20,57,3.56,46.9,High
179,65,49,42,80,42,2.54,56.4,Medium
180,81,64,73,50,93,2.29,74.0,Medium
181,99,46,88,50,76,2.58,68.7,Low
182,52,47,78,85,98,3.02,82.4,High
183,90,74,55,38,42,2.68,50.1,Medium
184,71,82,22,72,55,3.14,61.1,Medium
185,78,97,77,95,76,2.11,84.1,Medium
186,88,94,74,93,20,3.02,61.5,Medium
187,91,30,76,41,91,2.74,68.4,Low
188,71,87,36,42,22,3.07,40.8,High
189,43,55,58,34,33,2.85,39.0,High
190,69,49,87,45,53,2.57,55.2,Medium
191,76,39,74,22,89,3.81,61.1,Medium
192,62,88,64,39,88,2.37,68.3,Medium
193,78,70,95,59,70,3.36,70.0,Low
194,84,34,20,58,48,3.85,50.4,Medium
195,54,94,40,91,67,3.08,72.9,High
196,82,46,40,37,98,3.75,67.1,Low
197,68,51,71,60,98,2.25,76.2,Medium
198,75,70,62,89,35,2.99,61.4,Medium
199,52,97,71,46,76,2.91,66.2,High
200,71,98,86,34,29,2.02,47.3,High
201,46,40,63,56,38,2.89,46.9,High
202,98,85,51,77,86,2.74,80.9,Low
203,90,80,29,24,55,3.34,49.1,High
204,61,50,83,92,23,3.88,56.2,Medium
205,67,55,98,26,94,2.17,67.4,Medium
206,41,48,88,60,52,2.65,56.5,High
207,81,89,87,29,47,2.89,53.2,Medium
208,84,76,47,81,99,2.91,84.6,Low
209,96,55,72,45,28,3.55,47.0,High
210,92,69,70,87,94,2.89,86.8,Low
211,45,34,72,43,25,2.05,38.0,High
212,67,50,23,97,68,3.42,70.3,Low
213,67,33,98,60,95,3.77,75.8,Low
214,83,52,36,84,41,3.03,58.7,Medium
215,83,44,86,36,67,3.16,58.9,Medium
216,59,37,93,43,40,2.33,47.8,High
217,69,70,66,46,52,2.44,55.1,Medium
218,50,48,75,26,75,2.47,55.1,High
219,97,75,42,92,48,2.86,68.2,Low
220,94,57,37,31,72,3.86,56.9,Medium
221,67,97,20,22,59,3.04,48.6,High
222,64,44,54,98,93,2.38,82.8,Medium
223,78,66,83,29,37,2.53,46.2,High
224,72,30,77,52,66,2.77,59.9,Medium
225,40,96,78,65,32,3.25,53.7,High
226,96,53,20,78,46,2.88,58.7,Medium
227,66,56,22,71,81,2.78,68.1,Low
228,96,69,86,25,93,3.13,69.8,Low
229,91,92,56,21,64,2.48,55.8,Medium
230,52,90,48,48,22,2.16,42.2,High
231,80,65,52,59,41,2.05,53.8,Medium
232,42,53,80,80,46,2.5,59.9,High
233,78,53,23,87,74,2.18,71.1,Medium
234,45,33,33,87,86,2.67,71.6,High
235,47,96,52,48,52,3.55,54.7,High
236,66,63,41,81,21,3.43,49.7,High
237,48,86,67,79,94,3.22,81.4,High
238,76,78,22,60,65,3.71,61.6,Medium
239,72,82,42,84,93,2.56,82.0,Low
240,90,52,87,83,52,3.77,68.6,Low
241,81,98,40,98,77,2.8,82.1,Low
242,83,82,62,82,26,2.8,57.7,Medium
243,63,91,45,67,34,2.81,53.6,Medium
244,54,70,60,39,45,2.2,48.1,High
245,98,86,57,56,30,3.95,52.9,Medium
246,93,89,30,83,57,2.28,68.9,Medium
247,71,83,48,24,46,2.68,45.8,High
248,71,99,79,53,26,2.64,51.2,Medium
249,63,86,86,58,20,2.15,48.9,High
250,80,39,84,86,93,2.3,83.3,Medium
251,91,69,80,81,40,2.09,64.3,Medium
252,88,36,38,43,98,2.58,68.3,Low
253,88,67,65,22,49,3.73,48.2,High
254,97,90,68,90,27,2.68,63.3,Medium
255,91,32,41,86,22,2.25,51.0,Medium
256,51,80,97,98,74,3.29,81.8,High
257,78,76,76,69,34,3.99,57.3,Medium
258,41,97,33,48,55,2.46,53.5,High
259,42,67,63,93,25,2.56,55.1,High
260,88,65,35,51,61,3.94,58.5,Medium
261,76,70,96,58,69,2.36,69.2,Medium
262,88,98,31,28,37,3.02,44.9,High
263,95,42,74,33,69,2.48,58.6,Medium
264,56,87,70,87,49,3.86,67.0,High
265,98,79,58,83,96,3.96,86.8,Low
266,88,59,52,39,58,3.63,54.8,Medium
267,41,91,52,47,31,2.63,44.9,High
268,41,54,48,33,78,2.81,55.4,High
269,67,56,88,63,95,2.48,78.0,Medium
270,93,80,89,96,63,3.78,80.2,Low
271,62,86,50,58,23,3.83,46.4,High
272,76,76,99,47,55,2.84,61.2,Medium
273,71,68,50,83,67,3.31,70.6,Low
274,72,45,65,51,33,2.33,46.7,High
275,40,51,96,28,68,2.87,54.3,High
276,58,83,71,47,86,3.26,69.7,High
277,41,50,29,36,96,2.77,61.2,High
278,92,45,93,96,28,2.72,63.0,Medium
279,83,88,60,74,40,2.0,61.3,Medium
280,65,60,96,29,91,3.61,67.2,Low
281,71,71,22,99,35,3.78,60.1,Medium
282,45,61,78,25,35,3.94,39.9,High
283,71,88,71,67,47,3.44,61.9,Medium
284,94,63,53,94,70,3.1,77.2,Low
285,43,38,68,86,75,2.54,70.7,High
286,94,40,47,60,99,4.0,75.7,Low
287,50,39,32,98,76,3.18,71.9,High
288,95,46,88,79,71,3.36,75.0,Low
289,98,97,86,96,65,3.36,82.9,Low
290,56,77,80,61,97,3.69,78.4,High
291,77,81,79,90,57,2.02,73.5,Medium
292,63,54,90,47,67,2.44,61.6,Medium
293,44,50,43,32,60,3.33,47.3,High
294,91,94,82,34,78,3.79,68.1,Low
295,73,92,80,55,86,3.37,75.4,Low
296,45,80,42,34,93,2.83,64.1,High
297,61,65,49,94,85,2.72,79.7,Low
298,50,95,79,75,46,3.48,63.3,High
299,87,44,37,23,51,3.48,44.1,High
300,55,68,75,71,75,3.21,71.1,High
301,72,99,72,29,29,2.58,44.6,High
302,48,30,26,64,59,3.85,53.2,High
303,99,52,88,48,36,3.1,52.7,Medium
304,98,68,91,72,77,3.58,78.1,Low
305,45,86,98,48,25,2.43,47.3,High
306,55,63,71,42,58,2.69,54.7,High
307,68,70,23,76,37,3.75,53.7,Medium
308,42,42,53,69,92,2.1,71.2,High
309,59,99,88,40,91,3.02,73.0,High
310,99,35,52,62,61,2.96,61.6,Medium
311,98,81,88,29,23,3.5,44.6,High
312,75,32,57,95,39,2.56,60.5,Medium
313,58,92,45,49,47,2.44,53.0,High
314,65,78,20,70,59,3.85,60.9,Medium
315,42,76,23,52,84,3.14,63.3,High
316,58,84,58,37,63,2.21,56.3,High
317,59,93,73,97,42,2.39,68.4,High
318,71,94,52,41,76,4.0,64.4,Medium
319,46,96,52,83,66,2.39,70.7,High
320,91,44,91,40,32,3.22,47.4,High
321,80,61,39,20,35,2.84,38.0,High
322,72,97,35,34,74,3.77,60.2,Medium
323,79,47,40,55,84,3.51,66.7,Low
324,78,72,64,66,35,3.19,55.2,Medium
325,57,64,81,73,56,2.02,64.5,High
326,79,87,50,51,71,3.76,65.3,Low
327,40,62,61,77,29,2.89,51.0,High
328,50,43,31,65,57,3.86,54.7,High
329,67,63,84,73,63,2.99,68.5,Low
330,96,90,92,52,93,3.39,80.6,Low
331,64,33,22,58,73,2.14,58.5,Medium
332,89,88,28,42,70,3.49,61.1,Medium
333,62,58,70,62,71,2.68,66.0,Low
334,70,35,35,74,89,2.7,71.8,Low
335,69,78,97,21,78,2.24,61.9,Medium
336,81,69,22,85,32,2.29,55.5,Medium
337,74,94,43,57,60,2.37,62.2,Medium
338,46,98,92,48,31,2.66,50.4,High
339,99,56,32,86,69,3.78,72.1,Low
340,55,35,21,90,76,2.74,68.5,High
341,65,42,90,55,69,3.45,63.8,Medium
342,87,93,40,48,76,2.17,66.8,Medium
343,96,91,38,56,73,3.18,68.5,Low
344,91,48,66,64,85,2.96,73.7,Low
345,99,72,41,35,27,3.96,42.5,High
346,88,49,94,50,82,3.69,70.9,Low
347,41,97,52,53,28,2.91,46.1,High
348,40,73,51,69,79,3.55,68.7,High
349,87,52,83,84,82,2.39,80.2,Medium
350,51,31,58,81,91,3.12,74.7,High
351,44,51,91,62,22,2.15,46.0,High
352,76,86,61,75,92,2.7,81.6,Low
353,71,36,28,34,32,2.45,36.5,High
354,98,85,44,67,28,3.44,54.0,Medium
355,94,96,21,68,71,2.98,69.9,Low
356,48,45,38,63,81,3.5,64.4,High
357,80,80,39,29,27,3.03,39.4,High
358,74,41,89,39,64,2.17,57.7,Medium
359,58,82,36,89,72,3.47,73.1,High
360,87,34,87,27,82,3.67,61.7,Medium
361,55,56,22,64,76,3.81,62.9,High
362,42,41,70,53,73,3.14,60.4,High
363,59,46,45,70,38,3.51,51.2,High
364,63,35,75,23,86,3.5,58.6,Medium
365,93,34,83,58,65,2.31,64.4,Medium
366,95,86,27,43,29,2.33,45.3,High
367,72,57,56,74,37,2.14,55.5,Medium
368,63,98,46,45,31,2.64,46.6,High
369,91,88,64,44,68,2.95,64.7,Medium
370,50,62,23,55,42,4.0,46.8,High
371,88,91,56,90,81,2.86,82.9,Low
372,47,79,90,93,30,3.45,61.5,High
373,75,48,52,77,92,3.39,77.4,Low
374,77,98,50,31,75,2.41,61.8,Medium
375,79,95,74,20,74,2.12,60.4,Medium
376,59,76,31,69,44,3.09,54.9,High
377,74,68,30,44,28,3.4,41.6,High
378,87,97,91,99,31,4.0,69.6,Low
379,64,62,51,24,30,2.72,36.9,High
380,74,42,76,87,57,3.79,68.1,Low
381,64,83,57,25,47,2.76,46.7,High
382,68,36,79,45,27,3.38,42.6,High
383,57,43,38,74,93,3.2,73.2,High
384,85,48,75,58,66,2.11,64.6,Medium
385,57,83,33,28,55,2.16,47.7,High
386,41,49,52,64,69,2.04,61.0,High
387,93,58,29,33,28,2.74,39.1,High
388,74,53,99,74,79,3.49,76.4,Low
389,55,92,83,28,91,2.35,67.8,High
390,80,86,83,34,86,3.21,69.5,Low
391,75,37,81,56,72,2.58,64.9,Medium
392,72,91,87,69,36,3.59,60.1,Medium
393,43,58,62,91,72,3.6,72.4,High
394,72,46,99,40,47,3.55,52.5,Medium
395,53,95,78,76,82,3.05,78.2,High
396,60,35,71,38,34,2.57,41.6,High
397,87,87,38,77,38,3.62,59.5,Medium
398,59,98,40,25,89,2.37,62.8,High
399,95,57,41,23,66,2.58,52.6,Medium
400,47,91,28,62,90,2.37,71.2,High
401,46,70,28,61,67,3.35,59.5,High
402,42,98,92,22,92,3.37,66.6,High
403,56,70,46,20,39,3.31,38.8,High
404,72,78,36,74,56,2.83,63.2,Medium
405,87,78,63,34,94,2.2,70.6,Medium
406,51,32,64,66,21,3.82,42.9,High
407,98,39,27,65,83,3.02,69.1,Low
408,90,64,99,77,55,2.81,70.4,Low
409,61,31,37,90,24,3.18,49.5,High
410,94,53,52,58,83,2.39,70.5,Medium
411,61,67,20,22,26,2.27,31.8,High
412,85,51,95,49,89,2.81,73.4,Low
413,69,55,25,54,41,2.45,47.5,High
414,77,72,60,76,93,2.49,80.9,Medium
415,77,84,74,48,65,3.79,63.9,Medium
416,84,68,24,69,59,3.06,61.9,Medium
417,90,58,78,81,80,2.97,78.9,Low
418,93,49,99,71,65,3.38,71.4,Low
419,47,70,37,33,47,3.9,44.1,High
420,66,83,68,54,54,2.22,59.5,Medium
421,66,49,84,47,20,3.67,42.0,High
422,73,48,73,77,48,3.17,61.7,Medium
423,60,95,80,49,28,2.29,49.4,High
424,69,59,27,26,28,2.59,34.5,High
425,72,82,22,58,41,2.96,51.4,Medium
426,67,63,44,88,82,3.38,76.6,Low
427,86,51,88,54,85,2.49,72.7,Medium
428,72,96,74,71,99,3.07,85.1,Low
429,44,35,59,33,77,3.37,54.5,High
430,99,56,69,82,89,2.9,82.6,Low
431,87,39,52,55,74,3.73,63.9,Medium
432,58,77,37,43,32,3.74,42.9,High
433,43,99,76,59,38,2.94,54.7,High
434,74,88,35,48,98,3.95,73.3,Low
435,88,88,99,72,52,2.15,69.9,Medium
436,56,31,57,41,93,2.01,63.9,High
437,83,58,60,91,84,2.76,81.0,Low
438,67,97,26,34,79,3.2,60.8,Medium
439,69,94,97,88,31,3.26,64.8,Medium
440,68,55,72,83,62,2.95,69.2,Low
441,85,39,82,23,36,2.25,41.9,High
442,92,82,51,94,87,2.34,85.5,Medium
443,45,88,57,37,48,3.7,49.3,High
444,74,51,41,61,74,3.74,64.5,Medium
445,99,80,35,49,26,3.35,46.5,High
446,80,77,71,34,63,3.33,58.2,Medium
447,76,50,48,89,96,3.2,82.5,Low
448,63,51,35,74,24,2.41,46.7,High
449,68,59,95,72,79,2.86,75.4,Low
450,88,54,36,35,25,3.39,38.3,High
451,85,57,83,92,26,3.07,60.5,Medium
452,92,94,32,53,65,2.04,63.7,Medium
453,70,74,91,46,76,3.91,67.7,Low
454,74,97,75,32,73,3.69,63.4,Medium
455,99,36,24,46,65,2.52,55.7,Medium
456,72,78,31,92,29,3.23,57.3,Medium
457,91,38,60,88,23,3.85,54.5,Medium
458,60,65,22,50,86,2.19,64.1,Medium
459,71,30,52,22,44,3.01,39.5,High
460,62,39,69,49,97,2.91,70.5,Low
461,72,65,75,40,80,2.82,65.2,Low
462,42,75,28,25,57,3.67,44.8,High
463,57,61,69,51,51,2.76,54.4,High
464,64,61,48,61,42,2.13,52.4,Medium
465,81,35,58,81,56,2.13,64.1,Medium
466,70,77,64,51,22,2.09,45.2,High
467,93,67,36,58,32,2.82,49.8,High
468,97,46,75,83,53,3.44,67.9,Low
469,42,56,65,49,84,2.41,64.6,High
470,79,83,86,82,95,3.29,87.4,Low
471,85,79,88,50,27,3.37,51.0,Medium
472,63,64,33,59,28,2.51,44.9,High
473,89,54,86,52,47,3.2,57.3,Medium
474,71,57,42,82,97,3.37,80.4,Low
475,86,44,80,44,37,2.93,49.0,High
476,61,33,42,55,61,2.67,54.5,Medium
477,62,56,46,43,60,3.24,53.3,Medium
478,41,55,73,77,89,3.96,75.6,High
479,66,48,29,58,52,2.85,52.5,Medium
480,81,46,96,65,96,2.78,80.2,Low
481,41,72,35,96,73,2.93,72.8,High
482,65,70,60,29,55,2.15,50.2,Medium
483,56,71,74,51,75,3.11,65.4,High
484,79,79,80,55,36,2.66,54.7,Medium
485,72,69,68,47,29,2.24,46.6,High
486,48,68,92,35,63,2.93,56.5,High
487,82,52,71,35,21,2.01,39.4,High
488,93,81,21,37,33,2.8,43.8,High
489,87,76,69,27,60,2.21,55.3,Medium
490,78,92,62,99,21,2.05,61.3,Medium
491,68,98,96,94,38,3.65,69.6,Low
492,81,72,27,89,99,3.83,84.3,Low
493,94,77,78,20,20,2.42,38.9,High
494,65,63,84,81,21,3.08,53.9,Medium
495,74,69,31,95,46,2.56,64.3,Medium
496,89,90,23,57,21,2.99,45.7,High
497,64,79,96,64,70,2.87,71.1,Low
498,63,96,60,77,29,2.54,56.6,Medium
499,52,91,26,20,38,3.4,38.1,High
500,99,87,88,51,99,2.25,82.3,Medium
501,97,62,88,27,32,2.11,45.6,High
502,46,45,49,59,67,3.54,58.5,High
503,96,77,92,75,75,3.33,79.0,Low
504,75,39,25,82,91,3.0,74.9,Low
505,84,67,38,93,75,2.94,76.8,Low
506,59,48,99,93,69,2.99,76.1,High
507,40,65,85,55,64,2.87,61.1,High
508,47,88,29,76,78,2.79,70.4,High
509,85,92,35,93,58,3.0,72.3,Low
510,55,75,56,64,40,3.06,53.8,High
511,53,32,98,98,74,3.38,77.3,High
512,51,94,96,99,76,3.42,84.2,High
513,90,37,96,21,60,2.76,52.6,Medium
514,62,80,51,87,89,2.83,81.0,Low
515,54,35,66,69,68,2.75,63.4,High
516,67,68,91,48,63,3.07,62.2,Medium
517,73,89,62,29,54,2.91,52.7,Medium
518,41,57,55,46,24,3.78,38.7,High
519,71,83,45,34,90,3.39,66.1,Low
520,62,66,29,79,93,3.8,76.6,Low
521,61,38,50,50,93,3.42,67.1,Low
522,90,85,48,40,70,3.94,62.3,Medium
523,64,88,24,79,76,3.27,71.7,Low
524,97,31,96,77,77,3.93,76.3,Low
525,61,90,20,60,55,2.32,57.1,Medium
526,97,87,22,65,29,2.1,51.7,Medium
527,97,89,86,64,69,3.16,74.0,Low
528,61,69,90,45,56,3.97,57.9,Medium
529,88,65,54,70,39,2.84,57.3,Medium
530,91,66,34,55,32,2.42,48.4,High
531,81,47,86,71,94,3.04,80.3,Low
532,45,92,49,70,38,3.3,54.8,High
533,54,51,94,22,75,2.63,56.5,High
534,93,40,62,33,64,3.43,55.0,Medium
535,82,87,79,68,79,3.95,76.8,Low
536,99,86,59,96,87,3.79,88.0,Low
537,76,33,84,20,76,2.58,55.7,Medium
538,72,36,48,76,73,2.65,67.6,Low
539,47,90,93,36,56,2.74,56.2,High
540,92,83,38,69,56,2.79,64.4,Medium
541,99,97,22,33,33,2.2,44.9,High
542,83,30,55,78,63,3.52,65.4,Low
543,83,84,62,22,61,2.73,53.9,Medium
544,44,32,34,59,20,3.76,36.7,High
545,78,67,60,85,42,3.85,62.8,Medium
546,43,30,99,53,83,2.05,66.3,High
547,45,67,55,28,47,3.98,43.9,High
548,84,58,96,40,23,3.42,45.0,High
549,71,34,52,44,60,3.04,52.9,Medium
550,91,50,24,63,79,2.78,67.0,Low
551,69,96,97,44,37,3.04,54.2,Medium
552,86,76,33,28,82,2.65,60.7,Medium
553,74,64,87,81,80,3.25,78.8,Low
554,94,97,66,45,68,2.19,66.4,Medium
555,79,98,73,76,66,3.24,74.2,Low
556,91,30,23,56,58,2.55,54.4,Medium
557,55,97,28,35,25,2.04,38.5,High
558,52,41,72,56,72,3.11,62.1,High
559,89,89,96,95,95,3.16,93.9,Low
560,99,56,97,43,44,2.85,55.7,Medium
561,81,85,79,45,84,2.14,71.6,Medium
562,69,52,65,39,24,3.79,39.9,High
563,58,54,73,28,84,3.22,60.5,High
564,56,50,93,48,27,2.23,45.1,High
565,95,90,56,50,58,3.02,62.3,Medium
566,58,92,42,38,62,2.99,55.4,High
567,67,81,46,39,92,2.12,67.9,Medium
568,97,54,89,46,24,3.21,47.4,High
569,94,84,85,63,23,3.62,54.4,Medium
570,65,75,80,54,20,3.5,46.2,High
571,76,61,96,90,75,2.41,80.3,Medium
572,65,84,70,41,64,3.72,59.8,Medium
573,92,34,69,93,84,2.69,81.0,Low
574,62,65,38,34,22,3.89,35.5,High
575,48,78,20,32,41,2.14,40.6,High
576,51,87,59,23,91,2.97,63.0,High
577,92,68,51,75,75,3.19,73.6,Low
578,40,90,41,42,37,2.5,44.5,High
579,97,38,85,53,44,3.54,55.5,Medium
580,97,35,59,36,67,3.25,56.7,Medium
581,40,64,57,47,50,2.04,50.2,High
582,86,68,67,33,49,3.22,51.6,Medium
583,73,51,74,53,99,2.98,75.3,Low
584,71,70,94,94,85,2.39,85.7,Medium
585,93,34,74,76,29,3.99,54.5,Medium
586,87,71,70,96,90,3.79,87.6,Low
587,64,96,79,74,78,2.59,77.3,Low
588,79,59,27,85,70,3.08,70.0,Low
589,84,86,87,56,28,2.63,53.7,Medium
590,92,58,94,87,73,3.55,79.7,Low
591,40,66,91,95,81,3.86,80.6,High
592,55,42,28,45,28,2.72,37.2,High
593,78,61,21,80,28,3.61,51.2,Medium
594,44,75,99,86,43,3.0,64.8,High
595,61,52,89,93,58,2.79,71.3,Low
596,68,74,78,71,94,3.88,80.9,Low
597,94,46,38,37,27,3.02,39.7,High
598,42,95,47,72,44,2.93,57.6,High
599,51,35,91,82,85,3.34,76.3,High
600,65,47,33,72,29,2.52,47.7,High
601,55,51,43,46,43,2.65,45.9,High
602,90,62,63,50,99,3.86,76.1,Low
603,76,59,75,20,78,3.36,58.2,Medium
604,61,61,70,25,50,3.65,46.7,High
605,96,71,51,30,30,2.54,42.8,High
606,68,39,69,53,25,3.09,43.5,High
